,Wiki_Page,Wikipedia_Paragraphs
27,<WikipediaPage 'Pomme de terre'>,"

« Le fer était entré au service de l'homme, la dernière et la plus importante de toutes les matières premières qui jouèrent dans l'histoire un rôle révolutionnaire, la dernière … jusqu'à la pomme de terre. »"
28,<WikipediaPage 'Pomme de terre'>,"

 écrit Friedrich Engels en 1884 dans L'Origine de la famille, de la propriété privée et de l'État.
À la fin du XXe siècle, la pomme de terre a conquis la planète entière."
29,<WikipediaPage 'Pomme de terre'>,"


=== Terminologie ===
Le substantif féminin,, pomme de terre (prononcé [pɔmdətε:ʀ]) est composé de pomme, de et terre sur le modèle du latin malum terrae, terme désignant le cyclamen chez Pseudo-Apulée et Oribase, l'aristoloche chez Pline l'Ancien, la mandragore chez Isidore de Séville et Pseudo-Dioscoride, et un tubercule ou une sorte de courge."
30,<WikipediaPage 'Pomme de terre'>,"

La culture de la pomme de terre a pour objectifs de fournir des tubercules pour la consommation humaine et animale, mais aussi pour la transformation industrielle et la production de plants. Elle se pratique sous toutes les latitudes, à des altitudes variées (souvent au-dessus de 1 000 m et jusqu’à 4 000 m au Pérou). C’est une culture très diversifiée, d’une part selon les conditions socio-économiques : ce peut-être une activité non commerciale, culture vivrière dans les pays du Tiers-Monde, ou production pour l’auto-consommation dans les jardins particuliers dont la production est souvent sous-estimée ; ou bien une production destinée à la vente, soit en plein champ où elle peut constituer une véritable culture industrielle dans les pays développés, soit maraîchage sur des exploitations de taille plus réduite, notamment pour les primeurs. D’autre part, selon les conditions éco-climatiques, ce peut être une culture d’été, dans les pays tempérés et dans les régions d’altitude élevée des pays chauds ; une culture d’hiver dans les plaines tropicales, comme la plaine du Gange ; ou bien une culture praticable en toute saison dans les régions intermédiaires, région méditerranéenne par exemple.
La pomme de terre est une plante sarclée qui nécessite d’importantes façons culturales. Elle constitue un bon précédent pour le blé, le colza, la betterave à sucre… et en général est une bonne tête de rotation."
31,<WikipediaPage 'Pomme de terre'>,"


==== Travail du sol ====
La plupart du temps un labour est effectué suivi de plusieurs désherbages. Dans la plupart des terres, elle est cultivée sous une butte dans une terre assez fine. Une terre sableuse est plus propice à sa croissance.
Pour tubériser, c’est-à-dire former des tubercules, la pomme de terre a besoin d’obscurité. Le buttage en apportant de l’obscurité aux rameaux souterrains favorise donc l’augmentation du nombre de tubercules. Il a aussi pour but de couvrir les tubercules pour éviter leur verdissement au soleil, ce qui les rend toxiques par production de solanine."
32,<WikipediaPage 'Pomme de terre'>,"


==== Fertilisation ====
La pomme de terre est une plante exigeante en éléments minéraux, principalement en potasse (K2O). Les exportations moyennes sont estimées pour une tonne de tubercules à 6 kg de potasse, 3,2 kg d’azote, 1,6 kg de phosphore (P2O5), 0,4 kg de magnésium (MgO) et 30 kg de calcium (CaO) et de soufre (S). Les fanes mobilisent également des quantités notables de potasse, calcium et magnésium.
La fertilisation fait appel à des engrais organiques (fumier, compost, engrais vert), utiles pour améliorer la structure du sol et qui sont apportés avant l’hiver précédant la culture pour permettre leur minéralisation. Le complément en engrais minéraux est calculé en fonction des objectifs de rendement et du type de culture (pour production de plants, de pomme de terre de conservation, de primeurs ou pour la féculerie), ainsi que des variétés cultivées et du précédent cultural et donc notamment du reliquat azoté. Potasse et phosphore sont généralement apportés en engrais de fond en automne ou hiver. L’apport azoté peut être fractionné, une partie sous forme ammoniacale à la plantation et une partie au buttage sous forme nitrique ou uréique, cette dernière forme pouvant être pulvérisée et combinée avec un traitement fongicide.
L’apport d’azote est indispensable pour assurer le grossissement des tubercules mais favorise aussi le développement de la végétation, au détriment de la tubérisation en cas d’excès. L’excès d’azote est aussi un facteur négatif pour la qualité des tubercules, avec d’une part le risque de dépasser la norme pour la teneur en nitrates et d’autre part une teneur plus élevée en sucres réducteurs qui entraîne le risque de brunissement à la friture."
33,<WikipediaPage 'Pomme de terre'>,"


==== Jardiniers amateurs ====
Les pommes de terre de consommation non issues de l’agriculture biologique sont souvent traitées afin d’éviter leur germination, mais le traitement anti-germinatif est limité dans la durée et on peut donc facilement faire germer ces pommes de terre en les exposant à la lumière quelque temps en intérieur près d'une fenêtre. Un jardinier amateur peut aussi se procurer des semences (ou plants) en jardinerie. Lorsqu’on ne dispose que d’un petit potager, on peut opter pour la technique de la « tour de pommes de terre »
, qui permet de produire de grosses quantités de pommes de terre sur une petite surface et hors sol."
34,<WikipediaPage 'Pomme de terre'>,"

Les pommes de terre sont reproduites de manière végétative à partir de tubercules, entiers ou coupés (parfois appelés pomme de terre de semence), qui sont souvent cultivés spécialement à cet effet. En moyenne, les pommes de terre à replanter représentent 10 % environ de la récolte mondiale (FAOSTAT). Ils doivent être maintenus au stade physiologique adéquat pour permettre une levée rapide, éventuellement après une prégermination. L’utilisation de tubercules certifiés est recommandée pour obtenir de meilleurs résultats, la certification permettant de garantir l’identité variétale et la qualité sanitaire.
L’utilisation de semences véritables, c’est-à-dire de graines au lieu de tubercules, a été développée depuis les années 1980 dans certains pays en voie de développement, tels l’Inde, le Bangladesh et le Viêt Nam. Cette pratique, soutenue par le CIP, vise à réduire le coût de la culture, à en simplifier la logistique (il suffit de 200 g de graines à l’hectare au lieu de 2 000 kg de tubercules) et à améliorer la qualité sanitaire dans des régions où la production de plants certifiés n’est pas organisée. Son principal inconvénient est l’hétérogénéité des tubercules produits. Cette technique n’a pas véritablement percé, mais l’expérience a montré qu’il est préférable de produire des plants en pépinière plutôt que de semer directement en plein champ.
Récemment, une nouvelle méthode de sélection a été développée. Il s’agit de créer des lignées parentales diploïdes, et ensuite, par autofécondation, d'augmenter le niveau d'homozygotie ; des variétés hybrides F1 de la pomme de terre sont ainsi obtenues.
La densité de plantation peut varier de 150 000 à 300 000 tiges par hectare, le nombre de tiges émises par un plant variant selon son calibre et son âge physiologique. Les densités plus faibles permettent d’obtenir une récolte de calibre moyen plus élevé."
35,<WikipediaPage 'Pomme de terre'>,"

Les tubercules se récoltent à complète maturité, lorsque le feuillage commence à se faner, pour les pommes de terre « de conservation », mais avant maturité pour les pommes de terre de « primeur », qui de ce fait ne se conservent pas. En France, la commercialisation des pommes de terre de primeur est limitée au 15 août de chaque année (arrêté du 18 février 2009). Les pommes de terre de faible calibre sont appelées « grenaille »,.
Après élimination des tubercules blessés, la récolte est conservée dans un local aéré, sec et à l’abri de la lumière.
La première opération est le défanage, c’est-à-dire la destruction des feuilles et tiges, qui se fait lorsque les tubercules ont atteint la grosseur voulue, en principe deux à trois semaines avant la récolte. Il peut se faire par diverses méthodes, mécaniques ou chimiques. Cette opération, indispensable en vue de la récolte mécanisée, présente aussi l’intérêt de limiter la contamination des tubercules par le mildiou ou certaines maladies virales transmises par les pucerons.
Dans les pays développés, en culture de plein champ, l’arrachage des pommes de terre est le plus souvent mécanisé. On utilise à cet effet soit des arracheuses simples qui laissent les tubercules sur le champ sous forme d’andains, soit des machines combinées qui procèdent au ramassage et au triage des tubercules en une seule opération. Ces machines sont généralement tractées et attelées à l’attelage trois-points du tracteur, mais il existe aussi des récolteuses automotrices."
36,<WikipediaPage 'Pomme de terre'>,"


=== Les ennemis de la pomme de terre ==="
37,<WikipediaPage 'Pomme de terre'>,"

La pomme de terre peut être la cible de nombreuses maladies (plus de 200 en France), causées par différents agents pathogènes : champignons, bactéries, virus, mycoplasmes ou nématodes et qui peuvent toucher tant les cultures que les tubercules en conservation.
La maladie la plus importante dans le monde est sans conteste le mildiou, dû à Phytophthora infestans, un oomycète, une classe de microorganismes considérée autrefois comme appartenant à la classe des champignons. Cette maladie continue de causer des dégâts dans toutes les régions où les conditions d’environnement lui sont favorables, c’est-à-dire une humidité relative supérieure à 90 % et des températures comprises entre 10 et 25 °C. Lorsque les conditions favorables à la maladie sont réunies, elle peut détruire toutes les parties aériennes des plantes en moins d’une semaine. La lutte reposait traditionnellement sur l’emploi massif de fongicides peu efficace du fait de l'appartenance de Phytophtora à la classe des oomycètes. On estime à quatre milliards d’euros le coût annuel induit par le mildiou de la pomme de terre au niveau mondial. Une autre maladie importante, en particulier dans les plaines tropicales, est la pourriture brune due à une bactérie Gram-négative, Ralstonia solanacearum.
Parmi les autres maladies cryptogamiques et bactériennes ayant une importance économique variable, on peut citer le rhizoctone brun (Rhizoctonia solani), la dartrose (Colletotrichum coccodes), la gangrène de la pomme de terre (Phoma exigua), la fusariose (Fusarium roseum, Fusarium solani), la gale argentée (Helminthosporium solani), la gale poudreuse (Spongospora subterranea), la galle verruqueuse (Synchytrium endobioticum) et la gale commune (Streptomyces scabies).
La maladie virale la plus importante est la « maladie des taches annulaires nécrotiques » causée par le virus Y de la pomme de terre.
Les tubercules peuvent également être sujets à des maladies physiologiques, dont le cœur noir et le cœur creux, qui les rendent impropres à la commercialisation. Ces maladies sont induites par des troubles de croissance, liés notamment aux variations climatiques, ou à des conditions de stockage inadaptées.
Cette situation contraint les agriculteurs à recourir à des stratégies de lutte complexes, qui comprennent notamment l’utilisation de « plants certifiés », indemnes de pathogènes, même si l’utilisation de plants fermiers (« rataplants », c’est-à-dire des pommes de terre issues de la récolte précédente du fermier) est tolérée. Cette méthode de lutte est d'une efficacité très variable en fonction des maladies, le genre des oomycètes étant capable de résister dans le sol d'une génération à l'autre."
38,<WikipediaPage 'Pomme de terre'>,"

De nombreuses espèces animales attaquent soit les plants de pomme de terre soit les tubercules en conservation, les plus nuisibles appartenant à la classe des insectes et à l’embranchement des nématodes (vers non segmentés). Parmi les autres groupes de ravageurs de la pomme de terre, on peut citer les mollusques, par exemple la petite limace grise (Deroceras reticulatum), les myriapodes, les acariens, dont le tétranyque tisserand (Tetranychus urticae) et l’acarien des racines (Rhizoglyphus echinopus) et certains mammifères (rongeurs), comme les mulots, par exemple Microtus californicus. Ces espèces sont plus ou moins spécialisées, certaines ayant une prédilection pour les parties aériennes (tiges et feuillages), d’autres pour les parties souterraines et leurs aires de répartition respectives sont variables, parfois très étendues comme celle du doryphore qui s’étend à presque tout l’hémisphère nord.
Le doryphore (Leptinotarsa decemlineata), insecte très prolifique de l’ordre des Coléoptères, est le principal ravageur de la pomme de terre dans l’hémisphère nord. Ses larves, qui vivent trois semaines, peuvent anéantir le feuillage des plantes. Les adultes (imago) dévorent aussi les feuilles.
La teigne de la pomme de terre (Phthorimaea operculella) est un petit papillon (lepidoptères), de 10 à 15 millimètres d’envergure, présent dans toutes les régions tropicales et subtropicales. Ses chenilles mineuses creusent leurs galeries dans les tiges ou le limbe des feuilles et surtout dans les tubercules, qu’elles rendent impropres à la vente et qu’elles attaquent aussi en période de stockage.
Parmi les autres insectes déprédateurs de la pomme de terre figurent l’altise de la pomme de terre (Psylliodes affinis), la cicadelle des grillures de la vigne (Empoasca vitis), le hanneton commun (Melolontha melolontha), la noctuelle des moissons (Agrotis segetum), la punaise verte des pousses (Lygus pabulinus), les taupins (Agriotes lineatus et Agriotes obscurus (en)) et divers pucerons : le puceron vert du pêcher (Myzus persicae), espèce très ubiquiste, le puceron vert et rose de la pomme de terre (Macrosiphum euphorbiae), le puceron noir de la fève (Aphis fabae), le puceron de la digitale (Aulacorthum solani). Les pucerons sont plus redoutables comme vecteurs de diverses viroses que pour les dégâts directs aux cultures.
Parmi les nématodes, on peut citer le nématode doré de la pomme de terre (Globodera rostochiensis), le nématode à kyste blanc de la pomme de terre (Globodera pallida), le nématode cécydogène du Nord (Meloidogyne hapla) et celui responsable de la maladie vermiculaire de la pomme de terre (Ditylenchus destructor). Les nématodes étant presque invisibles à l’œil nu, les dégâts sont parfois assimilés à des maladies."
39,<WikipediaPage 'Pomme de terre'>,"

Les pommes de terre récoltées à pleine maturation peuvent se conserver de dix à douze mois. La question du stockage se pose pour les pommes de terre dites « de conservation » ainsi que pour celles destinées à la transformation industrielle et à la semence. Les tubercules, vivants et à teneur élevée en eau, sont sujets à la respiration et à la transpiration. Ils subissent au fil du temps pertes de poids, flétrissement et développement des germes. Ils peuvent aussi être exposés à des risques de fermentation et à des attaques bactériennes ou fongiques. Ils doivent être préservés du gel.
Les conditions de stockage à respecter sont les suivantes : obscurité, ventilation et hygrométrie contrôlées, températures maintenue entre 4 et 6 °C. Des traitements antigermination sont autorisés en phase de stockage à l’aide de substances telles que le prophame ou le chlorprophame par poudrage ou nébulisation, cette dernière technique assurant une meilleure répartition du produit et évitant les risques de surdosage localisé, ou bien par ionisation.
Le consommateur peut garder des pommes de terre pendant plusieurs semaines, plus ou moins selon les variétés, dans un local frais abrité de la lumière. Les pommes de terre « primeurs », récoltées avant complète maturité, ne se conservent que quelques jours."
40,<WikipediaPage 'Pomme de terre'>,"

Les variétés cultivées de pommes de terre sont très nombreuses, de l’ordre de plusieurs milliers et adaptées à divers types d’utilisation, alimentation humaine ou transformation industrielle. La reproduction se faisant par voie végétative, par plantation de tubercules, ces variétés constituent des clones, qui peuvent se reproduire indéfiniment à l’identique. Toutefois, ce type de reproduction ne permet pas d’éliminer les virus.
Dans l’Union européenne, près de 1 700 variétés de pommes de terre sont recensées en 2017 dans le catalogue européen des espèces de grandes cultures et plants de pomme de terre (à peine 200 variétés de plus que dans le catalogue de Vilmorin en 1902). Ce catalogue, géré par l’Office communautaire des variétés végétales (OCVV) ne contient que les variétés ayant satisfait aux tests DHS (distinction, homogénéité, stabilité) et VAT (valeur agronomique et technologique), préalables à l’autorisation de commercialisation. Le questionnaire technique qui doit être rempli par le demandeur porte notamment sur les caractères morphologiques suivants : fréquence des fleurs, intensité de coloration de la corolle et proportion de bleu (anthocyanine), précocité, forme de tubercules, couleur de la peau, de la base des yeux, de la chair, ainsi que sur les différences avec les variétés les plus proches.
On compte plus de 220 variétés de pommes de terre dans le catalogue officiel français, qui suit les mêmes règles.
La base de données européenne des pommes de terre cultivées (European Cultivated Potato Database) recense (fin 2009) 4 136 variétés cultivées. Cette base de données collaborative en ligne est gérée par la Scottish Agricultural Science Agency dans le cadre de l’ECP/GR (European Cooperative Programme for Crop Genetic Resources Networks) coordonné par un organisme international, Bioversity International.
Le Centre international de la pomme de terre, qui maintient la plus importante banque de gènes relative aux pommes de terre sauvages et cultivées, publie chaque année un « catalogue mondial des variétés de pommes de terre », dont la dernière édition (2009/2010) compte plus de 4 500 variétés cultivées dans une centaine de pays."
41,<WikipediaPage 'Pomme de terre'>,"


==== Critères de sélection ====
La sélection de nouvelles variétés est réalisée par des obtenteurs privés ou publics. Les critères de sélection peuvent être rangés en deux grandes catégories : d’une part les critères agronomiques, principalement la productivité et la précocité mais aussi la résistance aux divers agresseurs biotiques (maladies et ravageurs) ; d’autre part ceux relatifs à l’utilisation. Selon la destination finale, ces critères concernent la richesse des tubercules en matière sèche et en fécule (variété féculières et fourragères), l’aptitude à la transformation industrielle (variétés destinées à la production de chips, frites surgelées et produits déshydratés) et les aptitudes culinaires (pommes de terre de consommation)."
42,<WikipediaPage 'Pomme de terre'>,"

Les pommes de terre de primeur, qui sont récoltées avant maturité correspondent à des variétés précoces ou demi-précoces, telles que Bonnotte de Noirmoutier, Ratte. En France, elles sont cultivées dans les régions à hiver doux, notamment les côtes de Bretagne, d’Aquitaine et des Pays de la Loire (par exemple Noirmoutier, Vendée), ou le littoral méditerranéen. Plantées en hiver, elles sont récoltées trois mois plus tard, avant d’avoir atteint leur maturité, leur commercialisation doit intervenir avant le 15 août. Les appellations d’origine, telles que « pomme de terre de l'île de Ré » ou « pomme de terre primeur du Roussillon », répondent à un cahier des charges et ne correspondent pas nécessairement à une seule variété. Ainsi la première admet une dizaine de variétés et la seconde une seule, Bea.
Les pommes de terre de conservation, récoltées à maturité et souvent tardives. En France, elles sont plantées en avril-mai, récoltées quatre ou cinq mois plus tard, produites un peu partout, notamment dans le Nord et en Bretagne. Pour éviter leur germination, elles peuvent être traitées au chlorprophame. Les limites de résidus présents sont alors fixées en France à 0,5 mg/kg pour la chair et 5 mg/kg pour les pommes de terre non épluchées (d’où l’intérêt de ne pas consommer la peau des produits traités malgré sa teneur élevée en nutriments).Une autre distinction peut se faire en fonction de la consistance de la chair :"
43,<WikipediaPage 'Pomme de terre'>,"

pommes de terre à grain fin, à chair ferme, de forme généralement oblongue, qui tiennent bien à la cuisson et sont appréciées pour leurs qualités gustatives (exemple : Charlotte, Ratte, Amandine…) ;
pommes de terre à grain moins fin, plus riches en fécule, dont la variété la plus connue est la bintje. Ces pommes de terre sont utilisées pour la confection de purées ou de frites et pour la fabrication des produits transformés (chips, croquettes, frites surgelées, etc.).Une autre distinction est plutôt orientée marketing, on y trouve : les colorées (Roseval, Vitelotte, Bleue d'Auvergne, Bleue d'Artois), les anciennes (Bintje, Belle de Fontenay, Corne de gatte) et les plus récentes (Chérie, Pompadour, Charlotte, Juliette).
La pomme de terre Juliette est le produit d'un croisement entre les espèces Nicola et Hansa. Elle a une forme allongée. La meilleure dégustation se fait par la vapeur d'eau. Elle a la peau assez sensible mais sa chair est ferme."
44,<WikipediaPage 'Pomme de terre'>,"

En Europe, plusieurs productions traditionnelles de pommes de terre, souvent de primeur mais qui ne s’identifient pas nécessairement à une variété unique, cultivées en respectant un cahier des charges précis, sont protégées par des labels de qualité. Ceux-ci, appellation d'origine protégée (AOP) ou indication géographique protégée (IGP), sont définis par la législation de l’Union européenne.
Il s’agit :"
45,<WikipediaPage 'Pomme de terre'>,"

pour les AOP, des pommes de terre de Laponie, Lapin Puikula en Finlande, des pommes de terre de l’île de Ré et du Roussillon en France, de la pomme de terre royale de Jersey (Royaume-Uni), des Lüneburger Heidekartoffeln en Allemagne et de la patata di Bologna en Italie,
pour les IGP, de la pomme de terre de Merville (France), de la patata della Sila (Italie), des patates de Prades et de la patata de Galicia (Espagne) et de la Patata Kato Nevrokopiou (Grèce)."
46,<WikipediaPage 'Pomme de terre'>,"


== Utilisation ==
La pomme de terre a quatre grands types d’utilisations : l’alimentation humaine (sous forme de tubercules frais ou transformés), l’alimentation animale, l’extraction industrielle de la fécule et d’autres sous-produits, la production de plants. Au niveau mondial, la répartition était la suivante en 2007 (selon les Bilans alimentaires CDU/BA de la FAO) : pour une disponibilité totale de 324 millions de tonnes, l’alimentation humaine a représenté 64,4 %, l’alimentation animale 12,1 %, les semences (plants) 9,9 %, la transformation par l’industrie 6,6 % et les pertes 7 %."
47,<WikipediaPage 'Pomme de terre'>,"

La valeur nutritionnelle de la pomme de terre est liée à sa composition, principalement à sa teneur en matière sèche, qui se compose essentiellement de glucides, mais qui apporte aussi des protides, des vitamines, de sels minéraux, des fibres alimentaires et seulement des traces de lipides. La valeur nutritionnelle peut cependant être affectée par les modes de préparation culinaires dans la mesure où ils modifient cette composition, par exemple par la concentration de matière sèche, l’apport de matières grasses et la dégradation des vitamines.
Proche en moyenne de 23 %, la teneur en matière sèche peut varier de 13 à 37 %, notamment en fonction des variétés et de la durée du stockage.
La pomme de terre est un aliment relativement riche en amidon (75 à 80 % de la matière sèche) et parfois considéré comme un féculent, mais qui se rapproche des légumes par sa teneur élevée en eau (environ 80 %, contre seulement 12 % pour les céréales et légumes secs). Sa forte teneur en eau et la quasi absence de lipides en font un aliment modérément énergétique, environ 80 à 85 kcal/100 g, du moins lorsqu’elle est cuisinée sans apport de matières grasses. À titre de comparaison, 100 g de pommes de terre chips apportent environ 550 kcal.
L’amidon est constitué de 75 % d’amylopectine et de 25 % d’amylose. Une partie de cet amidon, environ 7 %, est constituée d’amidon résistant qui n’est pas assimilé au niveau de l’intestin grêle. Cette proportion peut augmenter (jusqu’à 13 %) si les pommes de terre sont refroidies après cuisson (par exemple pomme de terre en salade). L’amidon résistant est assimilé par les nutritionnistes aux fibres alimentaires, avec les mêmes effets bénéfiques, notamment parce qu’il augmente le lest intestinal et la sensation de satiété.
Outre l’amidon, les pommes de terre contiennent une faible quantité de sucres, dont la teneur varie selon les variétés, l’état de maturité des tubercules et leurs conditions de stockage. Il s’agit principalement de saccharose et de sucres réducteurs (glucose et saccharose). La présence de ces derniers est indésirable pour la production de frites et chips car elle entraîne pendant la friture le noircissement des produits finis (réaction de Maillard).
La teneur en protides, d’environ 2 % du poids frais, représente 8 à 10 % de la matière sèche, taux comparable à celui des céréales.
Il s’agit pour une part de protéines hydrosolubles et pour une part d’acides aminés libres. Les protides de la pomme de terre ont une bonne valeur biologique, comparable à celle du lait de vache. Ils contiennent plusieurs acides aminés essentiels, en particulier la lysine dont l’abondance les rend complémentaires des protéines de céréales, mais avec une légère déficience en acides aminés soufrés (méthionine, cystine).
Les principales protéines sont l’albumine, la globuline, la prolamine et la gluténine.
Les tubercules contiennent également des glycoprotéines (patatine et lectine).
La pomme de terre est une bonne source de vitamines hydrosolubles, en particulier de vitamine C (acide ascorbique). Une portion de 300 g de pommes de terre bouillies fournit environ 50 % de l’apport journalier recommandé. De fait, dans de nombreux pays où elle est le premier légume consommé, la pomme de terre est la principale source de vitamine C dans la ration alimentaire moyenne des habitants. Par exemple aux États-Unis, cet apport était (en 1975) estimé à 20 % (contre 18 % pour les agrumes). La teneur en vitamine C est la plus élevée dans les pommes de terre primeur (40 mg/100 g) contre seulement 15 mg chez la pomme de terre de conservation. Cette teneur diminue pendant le stockage et après cuisson car c’est une substance sensible à la chaleur (thermolabile) et à la dissolution dans l’eau.
La pomme de terre est aussi une source intéressante de vitamines B1 (thiamine), B2 (riboflavine), B3 (niacine), |B5 (acide pantothénique), B6 (pyridoxine) et B9 (acide folique).
Les sels minéraux représentent environ 1 % du poids des tubercules frais. Ils comptent plusieurs minéraux et oligo-éléments importants pour l’alimentation humaine, dont potassium (50 % du total), fer et magnésium, ainsi que calcium et phosphore. Le calcium, bien que sa teneur soit faible comparée à celle d’autres aliments comme les céréales, est mieux assimilé du fait du très faible niveau de l’acide phytique. Leur teneur élevée en potassium font des pommes de terre un aliment contre-indiqué en cas de défaillance rénale (hyperkaliémie). Inversement la faible teneur en sodium et la valeur élevée du ratio potassium/sodium les rend bénéfiques en cas d’hypertension."
48,<WikipediaPage 'Pomme de terre'>,"


===== Glycoalcaloïdes =====
La pomme de terre, comme toutes les plantes du genre Solanum, contient des glycoalcaloïdes toxiques. Il s’agit principalement de l’α-chaconine et de l’α-solanine, qui représentent 95 % des glycoalcaloïdes totaux (GAT) chez les cultivars modernes.
Ces molécules, aux propriétés très voisines et généralement regroupées sous le terme de « solanine », sont deux trisaccharides d’un aglycone commun, la solanidine. On trouve des glycoalcaloïdes dans toutes les parties vertes de la plante, particulièrement dans les feuilles et les bourgeons, ainsi que dans les fruits et les fleurs ; dans ces dernières leur concentration peut atteindre 500 mg/100 g.
Dans les tubercules, la teneur moyenne ne dépasse généralement pas 10 mg/100 g, avec une distribution très inégale : la peau et les tissus immédiatement sous-jacents, ainsi que les yeux ont des teneurs en GAT comprises entre 30 et 60 mg/100 g, tandis que la chair n’en contient que de 1,2 à 5. Il existe de fortes variations selon les variétés. Du fait de cette distribution inégale de la solanine dans le tubercule, la teneur moyenne est, pour une même variété, inversement proportionnelle à la taille du tubercule. D’autres facteurs peuvent aussi influencer le taux de GAT, comme le degré de maturité, certaines pratiques culturales, les conditions de conservation, les dommages physiques subis par les tubercules. Le plus important est le verdissement consécutif à l’exposition à la lumière. Le verdissement est dû à la formation de chlorophylle dans les couches externes du tubercule, qui s’accompagne d’accumulation de solanine. Les deux processus sont cependant indépendants.
La teneur-limite généralement admise est de 20 mg/100 g, cependant pour certains auteurs elle serait inférieure."
49,<WikipediaPage 'Pomme de terre'>,"

Au-dessus d’un seuil évalué à 10 mg/100 g, les glycoalcaloïdes donnent à la pomme de terre un goût amer, qui se transforme au-delà de 20 mg/100 g en sensation de brûlure, analogue à celle induite par les piments.
La solanine n’est pas éliminée par la cuisson, ni par la friture, car elle n’est détruite par la chaleur qu’au-delà de 200 °C (selon certains auteurs, la solanine commence à se décomposer à 243 °C et son point de fusion se situe à 285 °C ; pour d’autres, le point de fusion est à 228 °C).
L’ingestion de solanine provoque rarement la mort mais peut provoquer divers symptômes, des troubles gastro-intestinaux, des hémorragies, notamment à la rétine et aller jusqu’à une paralysie partielle ou des convulsions. La sensibilité des personnes varie selon les individus, mais des doses de glycoalcaloïdes totaux allant de 3 à 6 mg/kg de masse corporelle peuvent être létales."
50,<WikipediaPage 'Pomme de terre'>,"


===== Inhibiteurs de protéinase et lectines =====
La pomme de terre contient aussi des inhibiteurs de protéinase capables d’inhiber les principales protéinases digestives des animaux, notamment la trypsine, la chymotrypsine. Ces substances qui jouent un rôle dans la défense de la plante contre certains ravageurs, insectes ou microorganismes, sont détruites par la cuisson. Les lectines sont des protéines capables de se lier de manière réversible à des mono- ou oligosaccharides. Cette propriété permet aux lectines d’agglutiner les hématies de diverses espèces de mammifères dont l’homme et de probablement perturber le bon fonctionnement du tube digestif des insectes se nourrissant de la plante, jouant ainsi un rôle dans la défense de cette plante contre les insectes. Ces molécules sont également thermolabiles."
51,<WikipediaPage 'Pomme de terre'>,"


===== Acrylamide =====
Par la réaction de Maillard, la friture des pommes de terre peut entraîner la formation d’acrylamide (substance irritante, toxique et potentiellement cancérigène) qui donne aux frites et aux chips une couleur foncée.
Elle résulte de la dégradation de l’asparagine en présence de sucres réducteurs dans les tubercules,. Pour limiter la formation d’acrylamide, on peut contrôler la cuisson en évitant les températures trop élevées (au-dessus de 175 °C) et les temps de cuisson trop longs et minimiser la teneur des pommes de terre en sucres réducteurs (au-dessous d’un seuil estimé à 1 g/kg).
Une température de stockage trop basse favorise le développement de l’acrylamide sur le tubercule[réf. nécessaire]."
52,<WikipediaPage 'Pomme de terre'>,"


===== Traitement anti germinatif (chlorprophame ou CIPC) =====
La molécule principale utilisée comme anti germinatif (chlorprophame) se trouve principalement concentré dans la pelure et l’épiderme sous-jacent et décroît fortement vers l’intérieur du tubercule (Morel d’Arleux 2001).
Les produits à base de CIPC sont classés Xn (nocifs) sur le plan toxicologique et la phrase de risque R40 (effet cancérogène suspecté, preuves insuffisantes) a amené certains cahiers des charges de production de pomme de terre à l'exclure.
Sur le plan de la toxicité pour l’Homme, la dose journalière acceptable (DJA) est de l’ordre de 0,05 mg·kg-1·j-1.
À l'occasion du réexamen européen de l'homologation du CIPC (principale molécule utilisée comme anti-germinatif sur pomme de terre) qui aurait du intervenir avant le 31 juillet 2018, la commission a proposé en mars 2018 le non-renouvellement de l'AMM de cette molécule, c'est-à-dire son interdiction. Faute d'accord entre les États, la décision a été repoussée au 31 juillet 2019. Dans les motivations de son avis, la commission explique qu'un sujet de préoccupation particulièrement important a été identifié en ce qui concerne les résultats d'une évaluation indicative des risques pour les consommateurs, qui font apparaître des risques aigus et chroniques élevés liés au chlorprophame et à son principal métabolite, la 3-chloroaniline."
53,<WikipediaPage 'Pomme de terre'>,"


==== Cuisine de la pomme de terre ===="
54,<WikipediaPage 'Pomme de terre'>,"

La pomme de terre s'accommode de multiples façons : frites ou bouillies (ou à l’anglaise), en galettes, crêpes et gâteaux (en 1791 par exemple) En purée, soupe et potage, sautée ou rissolée ou pour agrémenter des salades composées. La frite est la préparation de pomme de terre la plus consommée au monde."
55,<WikipediaPage 'Pomme de terre'>,"


===== Aptitudes culinaires de différentes variétés =====
En Europe, les variétés de pomme de terre sont classées en quatre groupes selon leurs aptitudes culinaires. Ce classement, établi par l’Association européenne pour la recherche sur la pomme de terre (EAPR), tient compte de facteurs explicatifs de la texture, qui sont principalement le degré de délitement à la cuisson, la fermeté de la chair et la « farinosité ».
Types culinaires des pommes de terre"
